nombre,poblacion,superficie,continente
Argentina,47500000,34789543,América
Brasil,213993437,8515767,América
Estados Unidos,331002651,9833517,América
México,128932753,1964375,América
Canadá,38005238,9984670,América
Japón,125800000,377975,Asia
China,1411778724,9596961,Asia
India,1380004385,3287263,Asia
Corea del Sur,51780579,100210,Asia
Alemania,83149300,357022,Europa
Francia,67391582,551695,Europa
España,47351567,505992,Europa
Italia,59554023,301340,Europa
Reino Unido,67215293,242495,Europa
Egipto,102334404,1010408,África
Nigeria,206139589,923768,África
Sudáfrica,59308690,1221037,África
Australia,25687041,7692024,Oceanía
Nueva Zelanda,5084300,268021,Oceanía
Dinamarca,233433,2342,Europa
